Evaluation Setting,Value
Model,Adapted SINet + GRA
Test Images,253
Image Size,320x320
Threshold,0.5

Confusion Matrix Component,Pixel Count
True Negative,22959312
False Positive,223954
False Negative,269700
True Positive,2454234
Total Pixels,25907200

Metric,Decimal,Percentage
Accuracy,0.9809452970602729,98.09452970602729
Precision,0.9163785365328753,91.63785365328752
Recall,0.9009887904772692,90.09887904772692
F1-Score,0.9086184521403075,90.86184521403075
Dice Score,0.9086185021367361,90.8618502136736
IoU,0.8325397708460825,83.25397708460825
Specificity,0.9903398425398691,99.0339842539869
False Positive Rate,0.009660157460126585,0.9660157460126585
False Negative Rate,0.09901120952269404,9.901120952269405
